Producto,Categoria del Producto,Precio,Costo de Envio,Fecha de Compra,Vendedor,Lugar de Compra,Calificacion,Metodo de Pago,Cantidad de Cuotas,Latitud,Longitud
Asistente virtual,Electronicos,164300,6900,16/01/2021,Pedro Gomez,Bogota,4,Tarjeta de credito,8,4.60971,-74.08175
Mesa de comedor,Muebles,192300,8400,18/05/2022,Beatriz Morales,Medellin,1,Tarjeta de credito,4,6.25184,-75.56359
Juego de mesa,Juguetes,209600,15900,15/03/2021,Juan Fernandez,Cartagena,1,Tarjeta de credito,1,10.39972,-75.51444
Microondas,Electrodomesticos,757500,41000,3/5/2022,Juan Fernandez,Cali,4,Nequi,1,3.43722,-76.5225
Silla de oficina,Muebles,335200,20200,7/11/2020,Maria Alfonso,Medellin,5,Nequi,1,6.25184,-75.56359
Bloques de construccion,Juguetes,24200,0,3/12/2020,Beatriz Morales,Cali,5,Cupon,1,3.43722,-76.5225
Muneca bebe,Juguetes,44200,0,7/8/2021,Juan Fernandez,Bogota,3,Nequi,1,4.60971,-74.08175
Lavavajillas,Electrodomesticos,1189700,63700,18/06/2021,Felipe Santos,Santa Marta,5,Tarjeta de credito,10,11.24079,-74.19904
Lavadora de ropa,Electrodomesticos,1518200,79000,8/1/2022,Izabela de Leon,Bogota,1,Tarjeta de credito,5,4.60971,-74.08175
Carrito de control remoto,Juguetes,75200,5100,24/02/2020,Beatriz Morales,Bogota,5,Nequi,1,4.60971,-74.08175
Refrigerador,Electrodomesticos,2431300,127600,3/4/2020,Blanca Ramirez,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Lavavajillas,Electrodomesticos,1417100,75700,5/7/2021,Rafael Acosta,Cartagena,5,Tarjeta de credito,1,10.39972,-75.51444
Auriculares,Electronicos,91800,5300,20/02/2020,Rafael Acosta,Medellin,1,Tarjeta de credito,5,6.25184,-75.56359
Olla de presion,Arti­culos para el hogar,66700,1700,10/9/2020,Izabela de Leon,Pereira,4,Tarjeta de credito,2,4.81333,-75.69611
Bicicleta,Deportes y diversion,613300,30800,4/9/2020,Juan Fernandez,Bogota,2,Tarjeta de credito,8,4.60971,-74.08175
Ciencia de datos con Python,Libros,56900,1200,16/12/2020,Izabela de Leon,Cali,5,Tarjeta de credito,5,3.43722,-76.5225
Balon de voleibol,Deportes y diversion,58900,1300,3/5/2022,Pedro Gomez,Medellin,2,Nequi,1,6.25184,-75.56359
Ajedrez de madera,Juguetes,29600,1800,22/07/2021,Izabela de Leon,Santa Marta,5,Tarjeta de credito,2,11.24079,-74.19904
TV LED UHD 4K,Electronicos,1891700,107900,9/1/2022,Beatriz Morales,Bogota,3,Tarjeta de credito,5,4.60971,-74.08175
Juego de mesa,Juguetes,138900,9800,10/1/2020,Izabela de Leon,Medellin,4,Tarjeta de credito,4,6.25184,-75.56359
Microondas,Electrodomesticos,435700,23400,11/3/2021,Izabela de Leon,Cali,5,Cupon,1,3.43722,-76.5225
Vaso termico,Deportes y diversion,50800,3100,11/7/2022,Camila Rivera,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Bicicleta,Deportes y diversion,514500,27600,21/04/2022,Maria Alfonso,Medellin,3,Tarjeta de credito,10,6.25184,-75.56359
Kit de bancas,Muebles,293500,13800,6/3/2023,Camila Rivera,Bogota,4,Tarjeta de credito,3,4.60971,-74.08175
Dashboards con Power BI,Libros,33500,0,14/02/2023,Pedro Gomez,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Cuberteria,Arti­culos para el hogar,47900,3300,20/03/2021,Juan Fernandez,Bogota,5,Nequi,1,4.60971,-74.08175
Set de ollas,Arti­culos para el hogar,139300,8100,6/3/2023,Beatriz Morales,Medellin,5,Nequi,1,6.25184,-75.56359
Bateria,Instrumentos musicales,583900,29300,14/09/2020,Juliana Costa,Bogota,1,Tarjeta de credito,8,4.60971,-74.08175
Cuerda para saltar,Deportes y diversion,18400,1200,18/07/2020,Felipe Santos,Barranquilla,1,Tarjeta de credito,4,10.96854,-74.78132
Carrito de control remoto,Juguetes,79100,2400,15/12/2021,Angel Rodriguez,Bogota,4,Cupon,1,4.60971,-74.08175
Estufa,Electrodomesticos,564200,28200,8/9/2021,Mariana Herrera,Medellin,1,Tarjeta de credito,1,6.25184,-75.56359
Juego de mesa,Juguetes,153900,6400,15/08/2021,Angel Rodriguez,Medellin,3,Tarjeta de credito,3,6.25184,-75.56359
Cama box,Muebles,331400,17900,4/2/2020,Felipe Santos,Medellin,2,Tarjeta de credito,5,6.25184,-75.56359
Vaso termico,Deportes y diversion,55600,7700,26/04/2020,Juliana Costa,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Bloques de construccion,Juguetes,24700,1700,13/05/2021,Blanca Ramirez,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Vaso termico,Deportes y diversion,62300,1500,22/05/2022,Felipe Santos,Medellin,3,Tarjeta de credito,1,6.25184,-75.56359
Impresora,Electronicos,300200,16200,16/08/2021,Blanca Ramirez,Bogota,5,Tarjeta de credito,8,4.60971,-74.08175
Mesa de noche,Muebles,305400,16700,31/07/2021,Camila Rivera,Cali,5,Tarjeta de credito,3,3.43722,-76.5225
Dashboards con Power BI,Libros,30500,7500,17/08/2020,Angel Rodriguez,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Cama box,Muebles,327200,15600,21/09/2021,Mariana Herrera,Villavicencio,5,Tarjeta de credito,1,4.142,-73.62664
Auriculares,Electronicos,68300,1800,16/09/2022,Rafael Acosta,Cali,5,Cupon,1,3.43722,-76.5225
Armario,Muebles,513400,25500,2/8/2021,Mariana Herrera,Cali,5,Tarjeta de credito,5,3.43722,-76.5225
Dinosaurio Rex,Juguetes,13900,3100,27/04/2021,Izabela de Leon,Medellin,4,Nequi,1,6.25184,-75.56359
Microondas,Electrodomesticos,362000,17500,19/02/2021,Juliana Costa,Bogota,1,Tarjeta de credito,5,4.60971,-74.08175
Juego de mesa,Juguetes,240300,11000,26/03/2022,Juan Fernandez,Bogota,4,Tarjeta de credito,12,4.60971,-74.08175
Bicicleta,Deportes y diversion,428300,21000,17/12/2021,Juliana Costa,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Guitarra electrica,Instrumentos musicales,679000,34300,24/02/2023,Juan Fernandez,Inirida,4,Tarjeta de credito,4,3.8653,-67.9239
Set de ollas,Arti­culos para el hogar,100900,5600,19/07/2021,Mariana Herrera,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Secadora de ropa,Electrodomesticos,739700,39900,5/5/2020,Izabela de Leon,Cali,5,Nequi,1,3.43722,-76.5225
Sofa reclinable,Muebles,630000,31700,26/12/2022,Rafael Acosta,Cocuta,2,Tarjeta de credito,10,7.89391,-72.50782
Tablet ABXY,Electronicos,1130300,58400,8/3/2023,Mariana Herrera,Cali,5,Tarjeta de credito,1,3.43722,-76.5225
Kit de bancas,Muebles,318900,17200,19/12/2021,Lucas Olivera,Medellin,5,Nequi,1,6.25184,-75.56359
Impresora,Electronicos,297000,16200,6/8/2022,Mariana Herrera,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
Bateria,Instrumentos musicales,402200,21800,30/12/2020,Camila Rivera,Cali,5,Tarjeta de credito,1,3.43722,-76.5225
Cubo magico 8x8,Juguetes,17100,0,3/9/2021,Camila Rivera,Medellin,4,Nequi,1,6.25184,-75.56359
Set de vasos,Arti­culos para el hogar,38700,2500,16/04/2020,Rafael Acosta,Bogota,1,Tarjeta de credito,1,4.60971,-74.08175
Tablet ABXY,Electronicos,605800,33500,14/02/2023,Maria Alfonso,Cocuta,4,Tarjeta de credito,1,7.89391,-72.50782
Lavavajillas,Electrodomesticos,1122700,60000,28/02/2020,Juan Fernandez,Bogota,3,Tarjeta de credito,2,4.60971,-74.08175
Auriculares,Electronicos,125900,7100,10/12/2021,Felipe Santos,Bogota,3,Tarjeta de credito,1,4.60971,-74.08175
