Producto,Categoria del Producto,Precio,Costo de Envio,Fecha de Compra,Vendedor,Lugar de Compra,Calificacion,Metodo de Pago,Cantidad de Cuotas,Latitud,Longitud
Secadora de ropa,Electrodomesicos,1285100,66600,17/12/2021,Camila Rivera,Santa Marta,4,Tarjeta de credito,4,11.24079,-74.19904
Mesa de noche,Muebles,290100,13600,10/2/2021,Maria Alfonso,Cali,3,Tarjeta de credito,1,3.43722,-76.5225
Guitarra acustica,Instrumentos musicales,303500,17400,22/01/2023,Lucas Olivera,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Balon de voleibol,Deportes y diversion,58800,3300,22/03/2022,Pedro Gomez,Barranquilla,4,Tarjeta de credito,6,10.96854,-74.78132
Armario,Muebles,521100,25900,12/1/2022,Blanca Ramirez,Bogota,1,Tarjeta de credito,1,4.60971,-74.08175
Impresora,Electronicos,230700,10500,20/11/2022,Mariana Herrera,Medellin,5,Tarjeta de credito,5,6.25184,-75.56359
Carrito de control remoto,Juguetes,55700,3200,7/7/2020,Angel Rodriguez,Bogota,2,Nequi,1,4.60971,-74.08175
Silla de oficina,Muebles,464600,25100,1/5/2022,Santiago Silva,Bogota,5,Nequi,1,4.60971,-74.08175
Pandereta,Instrumentos musicales,43500,2700,27/10/2021,Maria Alfonso,Medellin,5,Tarjeta de credito,3,6.25184,-75.56359
Cuberteria,Articulos para el hogar,33500,0,3/5/2022,Felipe Santos,Medellin,5,Nequi,1,6.25184,-75.56359
Muneca bebe,Juguetes,45500,0,16/08/2021,Beatriz Morales,Neiva,5,Nequi,1,2.9273,-75.28189
Silla de oficina,Muebles,435200,21400,25/09/2022,Felipe Santos,Cocuta,2,Tarjeta de credito,1,7.89391,-72.50782
Impresora,Electronicos,232500,13600,16/01/2023,Lucas Olivera,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Auriculares,Electronicos,68700,4900,31/01/2022,Juan Fernandez,Cali,4,Tarjeta de credito,1,3.43722,-76.5225
Set de vasos,Articulos para el hogar,39100,2500,8/11/2021,Juan Fernandez,Santa Marta,5,Nequi,1,11.24079,-74.19904
TV LED UHD 4K,Electronicos,1540300,80200,4/2/2021,Rafael Acosta,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Olla de presion,Articulos para el hogar,83500,2600,17/02/2022,Juan Fernandez,Bogota,5,Nequi,1,4.60971,-74.08175
Olla de presion,Articulos para el hogar,69300,4100,17/08/2022,Angel Rodriguez,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
Muneca bebe,Juguetes,38400,2400,1/4/2021,Rafael Acosta,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
